title,difficulty,serves,rating,reviews,vegetarian,vegan,dairy_free,keto,gluten_free,prep_time,cook_time,ingredients,ingredient,recipe_urls
Protein pancakes: easy recipes and toppings,,,loading...,,False,False,False,False,False,,,,[],https://www.bbcgoodfood.com/recipes/protein-pancakes-easy-recipes-and-toppings
Chicken & chorizo jambalaya,Easy,Serves 4,A star rating of 4.8 out of 5.,2512 ratings,False,False,False,False,False,Prep:10 mins,Cook:45 mins,,"['1 tbsp olive oil', '2 chicken breasts, chopped', '1 onion, diced', '1 red pepper, thinly sliced', '2 garlic cloves, crushed', '75g chorizo, sliced', 'Cajun seasoning', '250g long grain rice', '400g can plum tomato', 'chicken stock']",https://www.bbcgoodfood.com/recipes/chicken-chorizo-jambalaya
Lemon drizzle cake,Easy,Cuts into 10 slices,A star rating of 4.7 out of 5.,2719 ratings,False,False,False,False,False,Prep:15 mins,Cook:45 mins,,"['225g unsalted butter,  softened', '225g caster sugar', '4 eggs', '225g self-raising flour', '1 lemon, zested', '1½ lemons, juiced', '85g caster sugar']",https://www.bbcgoodfood.com/recipes/lemon-drizzle-cake
Chilli con carne recipe,Easy,Serves 4,A star rating of 4.8 out of 5.,2469 ratings,False,False,False,False,False,Prep:10 mins,Cook:1 hr,,"['1 large onion', '1 red pepper', '2 garlic cloves', 'oil', '1 heaped tsp hot chilli powder  (or 1 level tbsp if you only have mild)', '1 tsp paprika', '1 tsp ground cumin', '500g lean minced beef', 'beef stock cube', '400g can chopped tomatoes', 'dried marjoram', '1 tsp sugar (or add a thumbnail-sized piece of dark chocolate along with the beans instead, see tip)', 'tomato purée', '410g can red kidney beans', 'plain boiled long grain rice, to serve', ' to serve']",https://www.bbcgoodfood.com/recipes/chilli-con-carne-recipe
Best ever chocolate brownies recipe,More effort,Cuts into 16 squares or 32 triangles,A star rating of 4.8 out of 5.,2499 ratings,False,False,False,False,False,Prep:25 mins,Cook:27 mins - 35 mins,,"['185g unsalted butter', '185g best dark chocolate', '85g plain flour', 'cocoa powder', '50g white chocolate', '50g milk chocolate', '3 large eggs', '275g golden caster sugar']",https://www.bbcgoodfood.com/recipes/best-ever-chocolate-brownies-recipe
Classic Victoria sandwich recipe,Easy,Cuts into 10 slices,A star rating of 4.6 out of 5.,1027 ratings,False,False,False,False,False,Prep:40 mins,Cook:20 mins,,"['200g caster sugar', '200g softened butter', '4 eggs, beaten', '200g self-raising flour', '1 tsp  baking powder', '2 tbsp milk', '100g butter, softened', '140g icing sugar, sifted', 'drop vanilla extract (optional)', 'good-quality strawberry jam', 'icing sugar, to decorate']",https://www.bbcgoodfood.com/recipes/classic-victoria-sandwich-recipe
Creamy courgette lasagne,Easy,Serves 4,A star rating of 4.6 out of 5.,622 ratings,True,False,False,False,False,Prep:10 mins,Cook:20 mins,,"['dried lasagne', '1 tbsp sunflower oil', '1 onion, finely chopped', '700g courgette (about 6), coarsely grated', '2 garlic cloves, crushed', '250g tub ricotta', '50g cheddar', 'jar tomato sauce']",https://www.bbcgoodfood.com/recipes/creamy-courgette-lasagne
Chicken noodle soup,Easy,Serves 2,A star rating of 4.8 out of 5.,742 ratings,False,False,False,False,False,Prep:10 mins,Cook:30 mins,,"['chicken', '1 boneless, skinless chicken breast (about 175g)', 'fresh ginger', '1 garlic clove, finely chopped', '50g rice or wheat noodles', '2 tbsp  sweetcorn, canned or frozen', '2-3 mushrooms, thinly sliced', '2 spring onions, shredded', '2 tsp  soy sauce, plus extra for serving', 'mint  or basil leaves and a little shredded chilli (optional), to serve']",https://www.bbcgoodfood.com/recipes/chicken-noodle-soup
Easy chocolate fudge cake,Easy,Serves 8,A star rating of 4.7 out of 5.,952 ratings,True,False,False,False,False,Prep:25 mins,Cook:30 mins,,"['150ml sunflower oil, plus extra for the tin', '175g self-raising flour', 'cocoa powder', '1 tsp bicarbonate of soda', '150g caster sugar', '2 tbsp golden syrup', '2 large eggs, lightly beaten', 'semi-skimmed milk', '100g unsalted butter', '225g icing sugar', 'cocoa powder', '2½ tbsp milk (a little more if needed)']",https://www.bbcgoodfood.com/recipes/naughty-chocolate-fudge-cake
Sweet potato & peanut curry,Easy,Serves 4,A star rating of 4.7 out of 5.,910 ratings,True,True,False,False,True,Prep:15 mins,Cook:45 mins,,"['1 tbsp coconut oil', '1 onion, chopped', '2 garlic cloves, grated', 'thumb-sized piece ginger, grated', 'Thai red curry paste', '1 tbsp smooth peanut butter', '500g sweet potato, peeled and cut into chunks', '400ml can coconut milk', '200g bag spinach', '1 lime, juiced', 'cooked rice, to serve (optional)', ' to serve (optional)']",https://www.bbcgoodfood.com/recipes/satay-sweet-potato-curry
