,title,difficulty,serves,rating,reviews,vegetarian,vegan,dairy_free,keto,gluten_free,prep_time,cook_time,ingredients,ingredient,recipe_urls
0,Protein pancakes: easy recipes and toppings,,,loading...,,False,False,False,False,False,,,,,https://www.bbcgoodfood.com/recipes/protein-pancakes-easy-recipes-and-toppings
1,Chicken & chorizo jambalaya,Easy,Serves 4,A star rating of 4.8 out of 5.,2512 ratings,False,False,False,False,False,Prep:10 mins,Cook:45 mins,,"chicken stock,chicken breast,pepper,tomato,onion,garlic,rice,olive oil",https://www.bbcgoodfood.com/recipes/chicken-chorizo-jambalaya
2,Lemon drizzle cake,Easy,Cuts into 10 slices,A star rating of 4.7 out of 5.,2719 ratings,False,False,False,False,False,Prep:15 mins,Cook:45 mins,,"egg,flour,butter,sugar",https://www.bbcgoodfood.com/recipes/lemon-drizzle-cake
3,Chilli con carne recipe,Easy,Serves 4,A star rating of 4.8 out of 5.,2469 ratings,False,False,False,False,False,Prep:10 mins,Cook:1 hr,,"chopped tomatoes,paprika,pepper,chocolate,kidney beans,beef,onion,garlic,tomato purée,ground cumin,chilli powder,rice",https://www.bbcgoodfood.com/recipes/chilli-con-carne-recipe
4,Best ever chocolate brownies recipe,More effort,Cuts into 16 squares or 32 triangles,A star rating of 4.8 out of 5.,2499 ratings,False,False,False,False,False,Prep:25 mins,Cook:27 mins - 35 mins,,"egg,chocolate,sugar,butter,flour",https://www.bbcgoodfood.com/recipes/best-ever-chocolate-brownies-recipe
5,Classic Victoria sandwich recipe,Easy,Cuts into 10 slices,A star rating of 4.6 out of 5.,1027 ratings,False,False,False,False,False,Prep:40 mins,Cook:20 mins,,"egg,sugar,vanilla extract,jam,milk,baking powder,flour,butter",https://www.bbcgoodfood.com/recipes/classic-victoria-sandwich-recipe
6,Creamy courgette lasagne,Easy,Serves 4,A star rating of 4.6 out of 5.,622 ratings,True,False,False,False,False,Prep:10 mins,Cook:20 mins,,"ricotta,onion,garlic,tomato sauce",https://www.bbcgoodfood.com/recipes/creamy-courgette-lasagne
7,Chicken noodle soup,Easy,Serves 2,A star rating of 4.8 out of 5.,742 ratings,False,False,False,False,False,Prep:10 mins,Cook:30 mins,,"chicken breast,chicken,ginger,corn,garlic,spring onion,soy sauce,basil,rice,mushroom",https://www.bbcgoodfood.com/recipes/chicken-noodle-soup
8,Easy chocolate fudge cake,Easy,Serves 8,A star rating of 4.7 out of 5.,952 ratings,True,False,False,False,False,Prep:25 mins,Cook:30 mins,,"egg,sugar,milk,flour,butter",https://www.bbcgoodfood.com/recipes/naughty-chocolate-fudge-cake
9,Sweet potato & peanut curry,Easy,Serves 4,A star rating of 4.7 out of 5.,910 ratings,True,True,False,False,True,Prep:15 mins,Cook:45 mins,,"coconut oil,peanut butter,ginger,spinach,curry paste,onion,garlic,coconut milk,sweet potato,rice",https://www.bbcgoodfood.com/recipes/satay-sweet-potato-curry
10,Chicken pasta bake,Easy,Serves 6,A star rating of 4.6 out of 5.,555 ratings,False,False,False,False,False,Prep:30 mins,Cook:45 mins,,"chopped tomatoes,chicken breast,sugar,penne,onion,garlic,mascarpone,parsley,olive oil",https://www.bbcgoodfood.com/recipes/chicken-pasta-bake
11,Banana bread,Easy,Cuts into 8-10 slices,A star rating of 4.5 out of 5.,1696 ratings,False,False,False,False,False,Prep:15 mins,Cook:50 mins,,"egg,sugar,baking powder,flour,butter",https://www.bbcgoodfood.com/recipes/brilliant-banana-loaf
12,The best spaghetti bolognese recipe,Easy,Serves 6,A star rating of 4.8 out of 5.,885 ratings,False,False,False,False,False,Prep:25 mins,Cook:1 hr and 50 mins,,"spaghetti,tomato,oregano,beef,onion,garlic,rosemary,bay leaf,tomato purée,celery,carrot,basil,red chilli,olive oil",https://www.bbcgoodfood.com/recipes/best-spaghetti-bolognese-recipe
13,Chorizo & mozzarella gnocchi bake,Easy,Serves 6,A star rating of 4.7 out of 5.,499 ratings,False,False,False,False,False,Prep:10 mins,Cook:25 mins,,"gnocchi,tomato,sugar,onion,garlic,basil,olive oil",https://www.bbcgoodfood.com/recipes/chorizo-mozzarella-gnocchi-bake
14,Burnt aubergine veggie chilli,Easy,Serves 4,A star rating of 4.8 out of 5.,633 ratings,True,False,False,False,False,Prep:25 mins,Cook:2 hrs,,"chopped tomatoes,paprika,green lentils,kidney beans,chocolate,oregano,onion,yogurt,soy sauce,carrot,coriander,avocado,ground cumin,red lentils,chilli powder,brown rice,cinnamon,olive oil",https://www.bbcgoodfood.com/recipes/burnt-aubergine-veggie-chilli
15,"Spinach, sweet potato & lentil dhal",Easy,Serves 4,A star rating of 4.8 out of 5.,781 ratings,True,True,False,False,False,Prep:10 mins,Cook:35 mins,,"ginger,spinach,turmeric,onion,garlic,spring onion,sweet potato,basil,ground cumin,red chilli,lentils",https://www.bbcgoodfood.com/recipes/spinach-sweet-potato-lentil-dhal
16,Easiest ever seafood rice,Easy,Serves 4,A star rating of 4.5 out of 5.,333 ratings,False,False,False,False,False,Prep:5 mins,Cook:25 mins,,"chicken stock,peas,turmeric,onion,sage,rice,olive oil",https://www.bbcgoodfood.com/recipes/easiest-ever-paella
17,Easy carrot cake,Easy,Serves 10-12,A star rating of 4.5 out of 5.,399 ratings,False,False,False,False,False,Prep:35 mins,Cook:30 mins,,"egg,cheese,sugar,vanilla extract,nutmeg,flour,vegetable oil,walnut,carrot,butter,yogurt,cinnamon",https://www.bbcgoodfood.com/recipes/carrot-cake
18,Classic scones with jam & clotted cream,Easy,Serves 8,A star rating of 4.8 out of 5.,1313 ratings,False,False,False,False,False,Prep:5 mins,Cook:10 mins,,"egg,sugar,vanilla extract,milk,cream,baking powder,flour,butter,lemon juice",https://www.bbcgoodfood.com/recipes/classic-scones-jam-clotted-cream
19,Ultimate chocolate cake,Easy,Cuts into 14 slices,A star rating of 4.7 out of 5.,1405 ratings,False,False,False,False,False,Prep:30 mins - 40 mins,Cook:1 hr - 1 hr and 30 mins,,"egg,chocolate,sugar,cream,butter,flour",https://www.bbcgoodfood.com/recipes/ultimate-chocolate-cake
20,Double bean & roasted pepper chilli,Easy,Serves 8,A star rating of 4.7 out of 5.,278 ratings,True,False,False,False,True,Prep:30 mins,Cook:1 hr and 15 mins,,"chopped tomatoes,paprika,pepper,oregano,kidney beans,onion,vinegar,celery,black beans,ground cumin,cinnamon",https://www.bbcgoodfood.com/recipes/double-bean-roasted-pepper-chilli
21,Carrot cake,Easy,15 slices,A star rating of 4.7 out of 5.,1219 ratings,False,False,True,False,False,Prep:1 hr - 1 hr and 15 mins,,,"egg,sugar,nutmeg,flour,carrot,cinnamon",https://www.bbcgoodfood.com/recipes/yummy-scrummy-carrot-cake-recipe
22,Mushroom risotto,Easy,Serves 4,A star rating of 4.7 out of 5.,369 ratings,True,False,False,False,False,Prep:5 mins,Cook:25 mins,,"white wine,onion,garlic,parsley,butter,rice,mushroom,olive oil",https://www.bbcgoodfood.com/recipes/mushroom-risotto
23,Spiced carrot & lentil soup,Easy,Serves 4,A star rating of 4.5 out of 5.,1264 ratings,True,False,False,False,False,Prep:10 mins,Cook:15 mins,,"cumin,milk,carrot,yogurt,red lentils,olive oil",https://www.bbcgoodfood.com/recipes/spiced-carrot-lentil-soup
24,Vintage chocolate chip cookies,Easy,Makes 30 ,A star rating of 4.8 out of 5.,1113 ratings,False,False,False,False,False,Prep:15 mins,Cook:10 mins,,"egg,chocolate,sugar,vanilla extract,flour,butter,salt",https://www.bbcgoodfood.com/recipes/vintage-chocolate-chip-cookies
25,Chocolate fudge crinkle biscuits,Easy,Makes 35-40 mini biscuits,A star rating of 4.8 out of 5.,363 ratings,True,False,False,False,False,Prep:20 mins,Cook:10 mins,,"egg,sugar,baking powder,flour,vegetable oil",https://www.bbcgoodfood.com/recipes/chocolate-fudge-crinkle-biscuits
26,Chicken arrabbiata stew & parmesan dumplings,Easy,Serves 4 - 6,A star rating of 4.9 out of 5.,281 ratings,False,False,False,False,False,Prep:30 mins,Cook:1 hr,,"chicken stock,chopped tomatoes,tomato,sugar,onion,garlic,thyme,milk,parsley,butter,flour,chicken thigh,olive oil",https://www.bbcgoodfood.com/recipes/chicken-arrabbiata-stew-parmesan-dumplings
27,Slow-cooker beef stew,Easy,Serves 4,A star rating of 4.8 out of 5.,423 ratings,False,False,False,False,False,Prep:20 mins,Cook:4 hrs,,"beef,onion,thyme,bay leaf,parsley,tomato purée,flour,celery,carrot",https://www.bbcgoodfood.com/recipes/slow-cooker-beef-stew
