title,difficulty,serves,rating,vegetarian,vegan,dairy_free,gluten_free,prep_time,cook_time,ingredients,ingredient,recipe_urls
Warm spring vegetables,Easy,Serves 6,,TRUE,TRUE,FALSE,TRUE,Prep:20 mins,Cook:2 mins - 3 mins,,"['2 large courgettes; sliced into ribbons with a vegetable peeler', 'juice 1 lemon', '200g asparagus spears; washed and trimmed', '100g frozen peas', '100g frozen broad beans', '1 tbsp extra virgin olive oil', 'small pack parsley; roughly chopped']",https://www.bbcgoodfood.com/recipes/warm-spring-vegetables
Lemon drizzle cake,Easy,Cuts into 10 slices,,FALSE,FALSE,FALSE,FALSE,Prep:15 mins,Cook:45 mins,,"['225g unsalted butter;  softened', '225g caster sugar', '4 eggs', '225g self-raising flour', '1 lemon; zested', '1½ lemons; juiced', '85g caster sugar']",https://www.bbcgoodfood.com/recipes/how-to-cook-brussels-sprouts
Red velvet cake,More effort,Serves 18 - 20,,FALSE,FALSE,FALSE,FALSE,Prep:1 hr and 5 mins,Cook:1 hr,,"['vegetable oil;', '500g plain flour', 'cocoa powder', '4 tsp baking powder', '2 tsp bicarbonate of soda', '560g light brown soft sugar', 'fine salt', '400ml buttermilk', '4 tsp vanilla extract', 'red food colouring gel', '4 large eggs', '250g slightly salted butter; at room temperature', '750g icing sugar', 'full-fat soft cheese', '1 tsp vanilla extract']",https://www.bbcgoodfood.com/recipes/poached-eggs
Easy chocolate fudge cake,Easy,Serves 8,,TRUE,FALSE,FALSE,FALSE,Prep:25 mins,Cook:30 mins,,"['150ml sunflower oil; plus extra for the tin', '175g self-raising flour', 'cocoa powder', '1 tsp bicarbonate of soda', '150g caster sugar', '2 tbsp golden syrup', '2 large eggs; lightly beaten', 'semi-skimmed milk', '100g unsalted butter', '225g icing sugar', 'cocoa powder', '2½ tbsp milk (a little more if needed)']",https://www.bbcgoodfood.com/recipes/lemon-drizzle-cake
Lemon & ginger tea,Easy,Serves 2,,TRUE,FALSE,FALSE,TRUE,Prep:5 mins,,,"['1 lemon', '2cm piece root ginger; finely sliced', 'honey to taste']",https://www.bbcgoodfood.com/recipes/red-velvet-cake
Air-fryer chips,Easy,Serves 4,,TRUE,TRUE,TRUE,TRUE,Prep:10 mins,Cook:35 mins,,"['4-5 large potatoes; about 1kg', '1 tbsp sunflower or  olive oil']",https://www.bbcgoodfood.com/recipes/naughty-chocolate-fudge-cake
Celery juice,Easy,Serves 2,,TRUE,TRUE,TRUE,TRUE,Prep:10 mins,,,"['1 head of  celery (about 500g)', '1 green apple (about 120g); peeled; quartered and cored ', '½-1  lemon; juiced', '20g  ginger; finely grated']",https://www.bbcgoodfood.com/recipes/lemon-ginger-tea
Low-sugar lime & basil green juice,Easy,Serves 1,,TRUE,TRUE,FALSE,TRUE,Prep:5 mins,,,"['chilled apple and elderflower juice', '50g baby spinach', '20g basil leaves', 'cucumber', '1 lime; zested and juiced']",https://www.bbcgoodfood.com/recipes/air-fried-chips
One-pan lamb with hasselback potatoes,Easy,Serves 6-8,,FALSE,FALSE,FALSE,TRUE,Prep:30 mins,Cook:2 hrs,,"['1 leg of lamb; about 2kg', '2 garlic bulbs', '15 sprigs rosemary', '15 sprigs thyme', 'medium-sized potatoes', 'bay leaves', '4 tbsp olive oil', '1 lemon; juiced']",https://www.bbcgoodfood.com/recipes/celery-juice
Giant Yorkshire pudding Sunday lunch,Easy,Serves 2,,FALSE,FALSE,FALSE,FALSE,Prep:15 mins,Cook:50 mins,,"['2 large eggs (these should make 100ml in a jug)', '70g plain flour', '100ml whole milk', 'rapeseed or  sunflower oil; for the tin', '1 fat steak (rather than a long; thin one)', 'rapeseed oil; for frying', 'large potato', '2 carrots; peeled and cut into batons; or 8-10 baby carrots', '4 stems long-stem broccoli', '200-300ml gravy']",https://www.bbcgoodfood.com/recipes/low-sugar-lime-basil-green-juice
Passion fruit mule,Easy,Serves 1,,TRUE,TRUE,TRUE,TRUE,Prep:5 mins,,,"['50ml vodka', 'passion fruit liqueur', 'passion fruit;', 'ice', 'ginger beer', ' to serve']",https://www.bbcgoodfood.com/recipes/one-pan-lamb-hasselback-potatoes
